120	1.50000
9.87170e+00	3.64747e+02	2.00000e+00
8.62120e+00	3.41899e+02	2.00000e+00
7.52910e+00	3.21945e+02	2.00000e+00
6.57540e+00	3.04519e+02	2.00000e+00
5.74240e+00	2.89300e+02	2.00000e+00
5.01500e+00	2.76009e+02	2.00000e+00
4.37980e+00	2.64402e+02	2.00000e+00
3.82500e+00	2.53765e+02	2.00000e+00
3.34040e+00	2.43486e+02	2.00000e+00
2.91730e+00	2.33469e+02	2.00000e+00
2.54770e+00	2.24128e+02	2.00000e+00
2.22500e+00	2.14609e+02	2.00000e+00
1.94320e+00	2.05723e+02	2.00000e+00
1.69700e+00	1.97303e+02	2.00625e+00
1.48200e+00	1.89176e+02	2.01250e+00
1.29430e+00	1.81509e+02	2.02500e+00
1.13040e+00	1.73622e+02	2.05000e+00
9.87170e-01	1.66132e+02	2.10000e+00
8.62120e-01	1.59150e+02	2.20583e+00
7.52910e-01	1.52923e+02	2.40000e+00
6.57540e-01	1.47595e+02	2.60000e+00
5.74240e-01	1.42694e+02	2.80000e+00
5.01500e-01	1.37731e+02	3.00000e+00
4.37980e-01	1.32701e+02	3.20000e+00
3.82500e-01	1.27880e+02	3.40000e+00
3.34040e-01	1.23773e+02	3.60000e+00
2.91730e-01	1.20629e+02	3.79417e+00
2.54770e-01	1.18444e+02	3.90000e+00
2.22500e-01	1.16969e+02	3.95000e+00
1.94320e-01	1.15949e+02	3.97500e+00
1.69700e-01	1.15215e+02	3.98750e+00
1.48200e-01	1.14626e+02	3.99375e+00
1.29430e-01	1.14095e+02	4.00000e+00
1.13040e-01	1.13552e+02	4.00000e+00
9.87170e-02	1.13340e+02	4.00000e+00
8.62120e-02	1.13743e+02	4.00000e+00
7.52910e-02	1.14841e+02	4.00000e+00
6.57540e-02	1.16308e+02	4.00000e+00
5.74240e-02	1.17884e+02	4.00000e+00
5.01500e-02	1.19577e+02	4.00000e+00
4.37980e-02	1.21452e+02	4.00000e+00
3.82500e-02	1.23549e+02	4.00000e+00
3.34040e-02	1.25738e+02	4.00000e+00
2.91730e-02	1.28081e+02	4.00000e+00
2.54770e-02	1.30712e+02	4.00000e+00
2.22500e-02	1.33739e+02	4.00000e+00
1.94320e-02	1.36934e+02	4.00000e+00
1.69700e-02	1.39877e+02	4.00000e+00
1.48200e-02	1.42917e+02	4.00000e+00
1.29430e-02	1.46177e+02	4.00000e+00
1.13040e-02	1.49333e+02	4.00000e+00
9.87170e-03	1.52441e+02	4.00000e+00
8.62120e-03	1.55397e+02	4.00000e+00
7.52910e-03	1.58122e+02	4.00000e+00
6.57540e-03	1.60565e+02	4.00000e+00
5.74240e-03	1.62519e+02	4.00000e+00
5.01500e-03	1.64009e+02	4.00000e+00
4.37980e-03	1.65099e+02	4.00000e+00
3.82500e-03	1.65889e+02	4.00000e+00
3.34040e-03	1.66478e+02	4.00000e+00
2.91730e-03	1.66859e+02	4.00000e+00
2.54770e-03	1.67074e+02	4.00000e+00
2.22500e-03	1.67166e+02	4.00000e+00
1.94320e-03	1.67174e+02	4.00000e+00
1.69700e-03	1.67152e+02	4.00000e+00
1.48200e-03	1.67099e+02	4.00000e+00
1.29430e-03	1.67063e+02	4.00000e+00
1.13040e-03	1.67037e+02	4.00000e+00
9.87170e-04	1.67038e+02	4.00000e+00
8.62120e-04	1.67065e+02	4.00000e+00
7.52910e-04	1.67117e+02	4.00000e+00
6.57540e-04	1.67241e+02	4.00000e+00
5.74240e-04	1.67397e+02	4.00000e+00
5.01500e-04	1.67596e+02	4.00000e+00
4.37980e-04	1.67840e+02	4.00000e+00
3.82500e-04	1.68091e+02	4.00000e+00
3.34040e-04	1.68397e+02	4.00000e+00
2.91730e-04	1.68708e+02	4.00000e+00
2.54770e-04	1.69042e+02	4.00000e+00
2.22500e-04	1.69406e+02	4.00000e+00
1.94320e-04	1.69755e+02	4.00000e+00
1.69700e-04	1.70130e+02	4.00000e+00
1.48200e-04	1.70495e+02	4.00000e+00
