# Pixel	Position
1.00	83.00
2.00	84.00
3.00	85.00
4.00	86.00
5.00	87.00
6.00	88.00
7.00	89.00
8.00	90.00
9.00	119.00
10.00	120.00
11.00	121.00
12.00	122.00
13.00	123.00
14.00	124.00
15.00	125.00
16.00	126.00
17.00	127.00
18.00	128.00
19.00	129.00
20.00	130.00
21.00	131.00
22.00	132.00
23.00	158.00
24.00	159.00
25.00	160.00
26.00	161.00
27.00	162.00
28.00	163.00
29.00	164.00
30.00	165.00
31.00	166.00
32.00	167.00
33.00	168.00
34.00	169.00
35.00	170.00
36.00	171.00
37.00	172.00
38.00	173.00
39.00	197.00
40.00	198.00
41.00	199.00
42.00	200.00
43.00	201.00
44.00	202.00
45.00	203.00
46.00	204.00
47.00	205.00
48.00	206.00
49.00	207.00
50.00	208.00
51.00	209.00
52.00	210.00
53.00	211.00
54.00	212.00
55.00	213.00
56.00	214.00
57.00	215.00
58.00	217.00
59.00	218.00
60.00	219.00
61.00	236.00
62.00	237.00
63.00	238.00
64.00	239.00
65.00	240.00
66.00	241.00
67.00	242.00
68.00	243.00
69.00	244.00
70.00	245.00
71.00	246.00
72.00	247.00
73.00	248.00
74.00	249.00
75.00	250.00
76.00	251.00
77.00	252.00
78.00	253.00
79.00	254.00
80.00	255.00
81.00	256.00
82.00	257.00
83.00	258.00
84.00	259.00
85.00	260.00
86.00	261.00
87.00	262.00
88.00	263.00
89.00	275.00
90.00	276.00
91.00	277.00
92.00	278.00
93.00	279.00
94.00	280.00
95.00	281.00
96.00	282.00
97.00	283.00
98.00	284.00
99.00	285.00
100.00	286.00
101.00	287.00
102.00	288.00
103.00	289.00
104.00	290.00
105.00	291.00
106.00	292.00
107.00	293.00
108.00	294.00
109.00	295.00
110.00	296.00
111.00	297.00
112.00	298.00
113.00	299.00
114.00	300.00
115.00	301.00
116.00	302.00
117.00	303.00
118.00	314.00
119.00	315.00
120.00	316.00
121.00	317.00
122.00	318.00
123.00	319.00
124.00	320.00
125.00	321.00
126.00	322.00
127.00	323.00
128.00	324.00
