# Pixel	Position
1.00	1116.00
2.00	1117.00
3.00	1118.00
4.00	1119.00
5.00	1120.00
6.00	1121.00
7.00	1176.00
8.00	1177.00
9.00	1178.00
10.00	1179.00
11.00	1180.00
12.00	1181.00
13.00	1182.00
14.00	1183.00
15.00	1184.00
16.00	1185.00
17.00	1186.00
18.00	1187.00
19.00	1188.00
20.00	1189.00
21.00	1190.00
22.00	1191.00
23.00	1192.00
24.00	1237.00
25.00	1238.00
26.00	1239.00
27.00	1240.00
28.00	1241.00
29.00	1242.00
30.00	1243.00
31.00	1244.00
32.00	1245.00
33.00	1246.00
34.00	1247.00
35.00	1248.00
36.00	1249.00
37.00	1250.00
38.00	1251.00
39.00	1252.00
40.00	1253.00
41.00	1254.00
42.00	1255.00
43.00	1256.00
44.00	1257.00
45.00	1258.00
46.00	1259.00
47.00	1260.00
48.00	1261.00
49.00	1262.00
50.00	1263.00
51.00	1297.00
52.00	1298.00
53.00	1299.00
54.00	1300.00
55.00	1301.00
56.00	1302.00
57.00	1303.00
58.00	1304.00
59.00	1305.00
60.00	1306.00
61.00	1307.00
62.00	1308.00
63.00	1309.00
64.00	1310.00
65.00	1311.00
66.00	1312.00
67.00	1313.00
68.00	1314.00
69.00	1315.00
70.00	1316.00
71.00	1317.00
72.00	1318.00
73.00	1319.00
74.00	1320.00
75.00	1321.00
76.00	1322.00
77.00	1323.00
78.00	1324.00
79.00	1325.00
80.00	1326.00
81.00	1327.00
82.00	1358.00
83.00	1359.00
84.00	1360.00
85.00	1361.00
86.00	1362.00
87.00	1363.00
88.00	1364.00
89.00	1365.00
90.00	1366.00
91.00	1367.00
92.00	1368.00
93.00	1369.00
94.00	1370.00
95.00	1371.00
96.00	1372.00
97.00	1373.00
98.00	1374.00
99.00	1375.00
100.00	1376.00
101.00	1377.00
102.00	1378.00
103.00	1379.00
104.00	1380.00
105.00	1381.00
106.00	1382.00
107.00	1383.00
108.00	1384.00
109.00	1385.00
110.00	1386.00
111.00	1387.00
112.00	1388.00
113.00	1389.00
114.00	1390.00
115.00	1391.00
116.00	1419.00
117.00	1420.00
118.00	1421.00
119.00	1422.00
120.00	1423.00
121.00	1424.00
122.00	1425.00
